Date,JPM,SPY
2024-01-02 00:00:00-05:00,170.03358459472656,471.1860046386719
2024-01-03 00:00:00-05:00,171.67931199886044,474.3913379668817
2024-01-04 00:00:00-05:00,173.26697541833403,477.5089126738271
2024-01-05 00:00:00-05:00,173.3535628062675,477.48511347263275
2024-01-08 00:00:00-05:00,173.33982424517478,477.2546475190377
2024-01-09 00:00:00-05:00,173.45153871130321,477.4198820752903
2024-01-10 00:00:00-05:00,173.24658981245236,476.93474413350106
2024-01-11 00:00:00-05:00,173.30334914800017,477.2406273885218
2024-01-12 00:00:00-05:00,172.49242685567535,477.23443133774373
2024-01-16 00:00:00-05:00,172.01242798568936,477.2708899509002
2024-01-17 00:00:00-05:00,173.0665593218468,477.2567693682161
2024-01-18 00:00:00-05:00,173.18479365070385,477.1179720898882
2024-01-19 00:00:00-05:00,173.60644676727196,479.06811529241105
2024-01-22 00:00:00-05:00,174.60455266074413,478.76405531542093
2024-01-23 00:00:00-05:00,173.74956196196572,480.09566863620375
2024-01-24 00:00:00-05:00,174.44799240490227,479.35183811735516
2024-01-25 00:00:00-05:00,176.4108151554676,480.360791312333
2024-01-26 00:00:00-05:00,176.65095169230352,479.62829283046585
2024-01-29 00:00:00-05:00,176.78591430535158,478.0931637801148
2024-01-30 00:00:00-05:00,176.06081693961173,477.97643678703577
2024-01-31 00:00:00-05:00,175.0631770932293,478.72334953920705
2024-02-01 00:00:00-05:00,174.66185293580486,479.2848185359506
2024-02-02 00:00:00-05:00,174.98837058427455,479.3430709164763
2024-02-05 00:00:00-05:00,175.74085827704295,479.2283313088236
2024-02-06 00:00:00-05:00,176.078894978638,480.9884460685675
2024-02-07 00:00:00-05:00,175.7677722391633,483.3944086007884
2024-02-08 00:00:00-05:00,178.11057713745888,485.57731779236383
2024-02-09 00:00:00-05:00,178.389285483882,488.4935008515423
2024-02-12 00:00:00-05:00,178.20340141271436,492.40690154501084
2024-02-13 00:00:00-05:00,178.93706766247695,493.62108749334305
2024-02-14 00:00:00-05:00,180.1735878840058,494.5092534209405
2024-02-15 00:00:00-05:00,179.21988467117225,495.27089333004244
2024-02-16 00:00:00-05:00,178.88274132209105,494.08247917454946
2024-02-20 00:00:00-05:00,178.6078718548259,496.14183957135293
2024-02-21 00:00:00-05:00,179.7000563083043,498.86618726468936
2024-02-22 00:00:00-05:00,179.50744224605694,497.57567912683703
2024-02-23 00:00:00-05:00,179.8019524333746,499.01725519336594
2024-02-26 00:00:00-05:00,180.09961974517438,498.33201915834735
2024-02-27 00:00:00-05:00,180.4451526773301,499.9050241325469
2024-02-28 00:00:00-05:00,180.7402386578112,500.627248068257
2024-02-29 00:00:00-05:00,181.94717057275255,501.58999464861995
2024-03-01 00:00:00-05:00,181.97489262110946,501.4681090035651
2024-03-04 00:00:00-05:00,182.12323876999267,502.0165872480572
2024-03-05 00:00:00-05:00,181.6227827231538,501.61804291350313
2024-03-06 00:00:00-05:00,179.96796215783462,502.28674881051415
2024-03-07 00:00:00-05:00,180.6571915337117,502.7196342422
2024-03-08 00:00:00-05:00,181.52057792256662,503.3220878622104
2024-03-11 00:00:00-04:00,181.2796949933278,503.737630961494
2024-03-12 00:00:00-04:00,182.38889238720427,504.3167953051039
2024-03-13 00:00:00-04:00,183.13899334178703,501.9414120245401
2024-03-14 00:00:00-04:00,183.94164648123697,502.8216837586304
2024-03-15 00:00:00-04:00,183.98084429967406,503.6994013467957
2024-03-18 00:00:00-04:00,183.5974354756231,505.58673913250885
2024-03-19 00:00:00-04:00,184.57927885153285,505.91854136177307
2024-03-20 00:00:00-04:00,185.23683138249595,506.2614787008004
2024-03-21 00:00:00-04:00,185.4649062602798,507.1706361426358
2024-03-22 00:00:00-04:00,186.87707491374243,507.64469629648926
2024-03-25 00:00:00-04:00,186.98589137392958,505.7127881354853
2024-03-26 00:00:00-04:00,186.67426623086195,506.7897765523921
2024-03-27 00:00:00-04:00,185.79297137967404,510.4111491418097
2024-03-28 00:00:00-04:00,184.8656340122633,512.9266689515756
