,TSLA
0,248.4199981689453
1,233.70820630117203
2,260.5536542628459
3,233.2870305216441
4,230.30130031485643
5,233.55990167105793
6,235.88433412960748
7,217.32868689354527
8,202.16783384580842
9,190.83798404703757
10,198.50420859896656
11,207.5845824132784
12,205.6382841150608
13,213.08371773616472
14,172.5874730286822
15,167.47208918830992
16,161.0119082329524
17,155.97929573802233
18,158.41602544867177
19,153.40722644809995
20,190.54603528961695
21,192.00154280613933
22,197.13280507195373
23,198.81700043766656
24,204.927804980194
25,198.41472064327536
26,205.94801406110759
27,205.5406029199653
28,211.8262115799064
29,201.60141863103064
30,201.44244043496093
31,201.06992049978305
32,196.14017642223664
33,196.76760049517748
34,204.80791118159883
35,199.3252894900446
36,203.8992667213136
37,207.09009326264922
38,219.27496497665817
39,223.1151607089836
40,233.53027944164452
41,236.81791076976037
42,222.98910154422623
43,226.95116308076794
44,224.6220769591712
45,212.63749017207414
46,214.18017774809584
47,208.07523714865357
48,200.05252057810756
49,202.65092819702082
50,199.7132345318461
51,204.70076836011594
52,198.66631025463872
53,211.1327371427029
54,217.20412563354066
55,217.68115449678984
56,206.93877942184864
57,207.25569358416323
58,215.34653159493956
59,210.956537020626
60,213.45118517438453
